id,date,time,type,account,destination_account,category,note,currency,amount,account_currency,account_amount,destination_currency,destination_amount,tax_rate,tax_amount,tax_base_amount,tax_input_mode,is_tax_exempt
demo-001,2026-09-20,09:22,expense,HSBC Everyday,,Transport,Airport rail,JPY,427.50,JPY,427.50,,,0.09,35.30,392.20,finalAmount,false
demo-002,2026-09-20,08:15,expense,HSBC Everyday,,Food,Breakfast cafe,HKD,30.60,HKD,30.60,,,0.09,2.53,28.07,finalAmount,false
demo-003,2026-09-19,19:14,expense,HSBC Everyday,,Food,Family dinner,HKD,294.62,HKD,294.62,,,0.09,24.33,270.29,finalAmount,false
demo-004,2026-09-19,09:16,expense,HSBC Everyday,,Transport,Rail ticket,HKD,72.00,HKD,72.00,,,0.09,5.94,66.06,finalAmount,false
demo-005,2026-09-18,15:17,expense,Apple Card,,Shopping,Amazon,USD,24.75,USD,24.75,,,0.09,2.04,22.71,finalAmount,false
demo-006,2026-09-17,16:08,expense,HSBC Everyday,,Shopping,Household supplies,CNY,181.44,CNY,181.44,,,0.09,14.98,166.46,finalAmount,false
demo-007,2026-09-17,10:18,expense,HSBC Everyday,,Utilities,Internet and mobile,HKD,216.00,HKD,216.00,,,0.09,17.83,198.17,finalAmount,false
demo-008,2026-09-16,12:19,expense,Mainland Wallet,,Food,Dim sum,CNY,29.25,CNY,29.25,,,0.09,2.42,26.83,finalAmount,false
demo-009,2026-09-15,18:20,expense,HSBC Everyday,,Other,Cinema,HKD,85.50,HKD,85.50,,,0.09,7.06,78.44,finalAmount,false
demo-010,2026-09-15,09:02,expense,HSBC Everyday,,Transport,Airport rail,JPY,893.76,JPY,893.76,,,0.09,73.80,819.96,finalAmount,false
demo-011,2026-09-14,19:21,expense,HSBC Everyday,,Food,Dinner with friends,USD,12.60,USD,12.60,,,0.09,1.04,11.56,finalAmount,false
demo-012,2026-09-13,19:56,expense,HSBC Everyday,,Food,Weekend brunch,USD,27.96,USD,27.96,,,0.09,2.31,25.65,finalAmount,false
demo-013,2026-09-11,18:50,expense,HSBC Everyday,,Other,Pharmacy,HKD,176.93,HKD,176.93,,,0.09,14.61,162.32,finalAmount,false
demo-014,2026-09-09,12:44,expense,Mainland Wallet,,Food,Dim sum,CNY,64.27,CNY,64.27,,,0.09,5.31,58.96,finalAmount,false
demo-015,2026-09-07,10:38,expense,HSBC Everyday,,Utilities,Home utilities,HKD,442.37,HKD,442.37,,,0.09,36.53,405.84,finalAmount,false
demo-016,2026-09-05,15:32,expense,Apple Card,,Shopping,Books and stationery,USD,53.86,USD,53.86,,,0.09,4.45,49.41,finalAmount,false
demo-017,2026-09-04,10:29,transfer,HSBC Everyday,Investments,Other,Investment contribution,HKD,2340.00,HKD,2340.00,USD,300.00,,,,,false
demo-018,2026-09-03,09:26,expense,HSBC Everyday,,Transport,Rail ticket,HKD,145.92,HKD,145.92,,,0.09,12.05,133.87,finalAmount,false
demo-019,2026-09-01,08:20,expense,HSBC Everyday,,Food,McDonald's,HKD,65.93,HKD,65.93,,,0.09,5.44,60.49,finalAmount,false
demo-020,2026-08-28,18:34,transfer,HSBC Everyday,Apple Card,Other,Apple Card payment,HKD,893.18,HKD,893.18,USD,114.51,,,,,false
demo-021,2026-08-28,17:34,expense,HSBC Everyday,,Other,Gym membership,HKD,337.19,HKD,337.19,,,0.09,27.84,309.35,finalAmount,false
demo-022,2026-08-28,09:34,income,Emergency Savings,,Interest,Savings interest,HKD,33.00,HKD,33.00,,,0.15,5.82,38.82,finalAmount,false
demo-023,2026-08-28,09:34,income,Investments,,Interest,USD cash interest,USD,4.00,USD,4.00,,,0.15,0.71,4.71,finalAmount,false
demo-024,2026-08-27,15:31,expense,HSBC Everyday,,Shopping,Home electronics,HKD,852.81,HKD,852.81,,,0.09,70.42,782.39,finalAmount,false
demo-025,2026-08-26,20:28,expense,Cash,,Transport,Minibus and taxi,HKD,109.12,HKD,109.12,,,0.09,9.01,100.11,finalAmount,false
demo-026,2026-08-26,10:28,transfer,HSBC Everyday,Emergency Savings,Other,Monthly savings,HKD,8000.00,HKD,8000.00,HKD,8000.00,,,,,false
demo-027,2026-08-25,10:25,income,HSBC Everyday,,Salary,Monthly salary,HKD,22500.00,HKD,22500.00,,,0.15,3970.59,26470.59,finalAmount,false
demo-028,2026-08-24,12:22,expense,HSBC Everyday,,Food,Food court,MYR,65.40,HKD,109.22,,,0.09,5.40,60.00,finalAmount,false
demo-029,2026-08-23,14:19,expense,HSBC Everyday,,Other,Exhibition,EUR,30.50,EUR,30.50,,,0.09,2.52,27.98,finalAmount,false
demo-030,2026-08-21,10:13,expense,Apple Card,,Utilities,Annual app installment,USD,43.18,USD,43.18,,,0.09,3.57,39.61,finalAmount,false
demo-031,2026-08-19,19:07,expense,HSBC Everyday,,Food,Deliveroo dinner,HKD,389.86,HKD,389.86,,,0.09,32.19,357.67,finalAmount,false
demo-032,2026-08-18,15:04,expense,HSBC Everyday,,Shopping,Flight to visit family,HKD,2150.00,HKD,2150.00,,,0.09,177.52,1972.48,finalAmount,false
demo-033,2026-08-17,16:01,expense,HSBC Everyday,,Shopping,Muji,CNY,240.52,CNY,240.52,,,0.09,19.86,220.66,finalAmount,false
demo-034,2026-08-16,11:58,income,Investments,,Dividends,Index fund distribution,USD,35.00,USD,35.00,,,0.15,6.18,41.18,finalAmount,false
demo-035,2026-08-15,09:55,expense,HSBC Everyday,,Transport,Metro ticket,JPY,1182.28,JPY,1182.28,,,0.09,97.62,1084.66,finalAmount,false
demo-036,2026-08-13,19:49,expense,HSBC Everyday,,Food,Dinner with friends,USD,37.05,USD,37.05,,,0.09,3.06,33.99,finalAmount,false
